Player,Score
Always_cooperate,4426.7
Generous_TFT,4273.0
Random,4177.5
Extortioner,4073.2
Alternator,4027.3
Pavlov,3996.2
Soft_Majority,3956.5
Adaptive_Tit_For_Tat_10,3829.0
Grim_Trigger,3707.2
Spiteful,3655.9
Always_defect,3615.7
Adaptive_Tit_For_Tat,3595.5
Punisher,3581.4
NicerTester,3568.1
Windowed_Forgiveness_TFT,3547.8
Tit_for_two_tats,3526.0
Prober,3501.6
Tit_for_tat,3481.1
Tester,3467.7
Joss,3448.1
Gradual_Retaliator,3424.0
Not_nice_tit_for_tat,3401.6
Predictive_Mirror,3379.6
Retaliator,3350.9
