Player,Score
Tit_for_tat,510
Joss,487
Adaptive_Tit_For_Tat,484
Soft_Majority,476
Punisher,468
Pavlov,464
Grim_Trigger,464
Retaliator,457
Tit_for_two_tats,455
Always_cooperate,450
Alternator,422
Spiteful,415
Random,395
Extortioner,392
Always_defect,386
Not_nice_tit_for_tat,384
Tester,369
Prober,367
