Player,Score
Tit_for_tat,512
Adaptive_Tit_For_Tat,472
Always_cooperate,471
Pavlov,467
Grim_Trigger,464
Retaliator,456
Joss,455
Alternator,452
Soft_Majority,449
Tit_for_two_tats,447
Punisher,427
Random,406
Always_defect,398
Tester,392
Extortioner,388
Not_nice_tit_for_tat,372
Prober,366
Spiteful,355
