Player,Score
Tit_for_tat,507
Grim_Trigger,493
Adaptive_Tit_For_Tat,483
Soft_Majority,464
Pavlov,463
Alternator,459
Joss,457
Always_cooperate,453
Punisher,453
Retaliator,452
Tit_for_two_tats,450
Tester,389
Extortioner,388
Always_defect,386
Not_nice_tit_for_tat,378
Random,369
Prober,369
Spiteful,363
