Match,Score
"('Grim_Trigger', 'Extortioner')","(23, 13)"
"('Grim_Trigger', 'Retaliator')","(13, 13)"
"('Grim_Trigger', 'Spiteful')","(9, 14)"
"('Pavlov', 'Pavlov')","(60, 60)"
"('Pavlov', 'Prober')","(9, 29)"
"('Pavlov', 'Tester')","(45, 5)"
"('Pavlov', 'Joss')","(30, 30)"
"('Pavlov', 'Soft_Majority')","(30, 30)"
"('Pavlov', 'Adaptive_Tit_For_Tat')","(30, 30)"
"('Pavlov', 'Punisher')","(30, 30)"
"('Pavlov', 'Extortioner')","(15, 30)"
"('Pavlov', 'Retaliator')","(30, 30)"
"('Pavlov', 'Spiteful')","(5, 30)"
"('Prober', 'Prober')","(20, 20)"
"('Prober', 'Tester')","(15, 15)"
"('Prober', 'Joss')","(25, 25)"
"('Prober', 'Soft_Majority')","(13, 13)"
"('Prober', 'Adaptive_Tit_For_Tat')","(25, 25)"
"('Prober', 'Punisher')","(13, 13)"
"('Prober', 'Extortioner')","(25, 10)"
"('Prober', 'Retaliator')","(13, 13)"
"('Prober', 'Spiteful')","(9, 14)"
"('Tester', 'Tester')","(56, 56)"
"('Tester', 'Joss')","(29, 29)"
"('Tester', 'Soft_Majority')","(26, 31)"
"('Tester', 'Adaptive_Tit_For_Tat')","(29, 29)"
"('Tester', 'Punisher')","(23, 33)"
"('Tester', 'Extortioner')","(14, 39)"
"('Tester', 'Retaliator')","(22, 32)"
"('Tester', 'Spiteful')","(1, 46)"
"('Joss', 'Joss')","(43, 43)"
"('Joss', 'Soft_Majority')","(34, 24)"
"('Joss', 'Adaptive_Tit_For_Tat')","(30, 30)"
"('Joss', 'Punisher')","(29, 29)"
"('Joss', 'Extortioner')","(22, 17)"
"('Joss', 'Retaliator')","(30, 30)"
"('Joss', 'Spiteful')","(9, 14)"
"('Soft_Majority', 'Soft_Majority')","(60, 60)"
"('Soft_Majority', 'Adaptive_Tit_For_Tat')","(30, 30)"
"('Soft_Majority', 'Punisher')","(9, 14)"
"('Soft_Majority', 'Extortioner')","(23, 13)"
"('Soft_Majority', 'Retaliator')","(30, 30)"
"('Soft_Majority', 'Spiteful')","(9, 14)"
"('Adaptive_Tit_For_Tat', 'Adaptive_Tit_For_Tat')","(60, 60)"
"('Adaptive_Tit_For_Tat', 'Punisher')","(12, 17)"
"('Adaptive_Tit_For_Tat', 'Extortioner')","(21, 21)"
"('Adaptive_Tit_For_Tat', 'Retaliator')","(30, 30)"
"('Adaptive_Tit_For_Tat', 'Spiteful')","(9, 14)"
"('Punisher', 'Punisher')","(59, 59)"
"('Punisher', 'Extortioner')","(23, 13)"
"('Punisher', 'Retaliator')","(13, 13)"
"('Punisher', 'Spiteful')","(10, 10)"
"('Extortioner', 'Extortioner')","(36, 36)"
"('Extortioner', 'Retaliator')","(18, 23)"
"('Extortioner', 'Spiteful')","(6, 26)"
"('Retaliator', 'Retaliator')","(60, 60)"
"('Retaliator', 'Spiteful')","(9, 14)"
"('Spiteful', 'Spiteful')","(20, 20)"
