Player,Score
Generous_TFT,5537.5
Random,5375.1
Tit_for_two_tats,5231.1
Always_cooperate,5120.8
Adaptive_Tit_For_Tat,5038.1
Soft_Majority,4977.4
Pavlov,4888.9
Tit_for_tat,4852.5
Alternator,4777.9
Extortioner,4680.9
Grim_Trigger,4579.2
Windowed_Forgiveness_TFT,4494.3
NicerTester,4428.2
Predictive_Mirror,4361.4
Joss,4306.5
Adaptive_Tit_For_Tat_10,4267.3
Not_nice_tit_for_tat,4231.1
Spiteful,4178.3
Always_defect,4158.4
Tester,4127.0
Retaliator,4073.3
Prober,4017.9
Gradual_Retaliator,3927.2
Punisher,3827.8
